# Consolidated Retail Demand Forecasting and Price Optimization Dataset - Synthetic Data Generated by AI for Demonstration Purposes
# This dataset combines SKU×Store×Week sales data with promotional mechanics, pricing variables, and external factors
# for use in promo-aware demand forecasting, price elasticity estimation, and revenue optimization. All data is artificial and AI-generated.
#
# Company: MegaRetail Corporation (Fictitious National Retailer)
# Dataset Purpose: Demand forecasting, price optimization, promotional effectiveness analysis, and revenue management
# Granularity: SKU×Store×Week level with 104 weeks of history
# Focus Areas: Price elasticity modeling, promo lift measurement, baseline demand forecasting, what-if scenario planning
#
# Data Dictionary:
# week_id: Week identifier (YYYY-WW format)
# fiscal_year: Company fiscal year
# fiscal_quarter: Company fiscal quarter (Q1/Q2/Q3/Q4)
# fiscal_week: Week within fiscal year (1-52)
# calendar_date: Week ending date (YYYY-MM-DD)
# sku_id: Stock Keeping Unit identifier (SKU######)
# product_name: Product description
# category: Product category (Electronics/Apparel/Home/etc.)
# sub_category: Product sub-category
# brand: Product brand name
# private_label: Private label product flag (TRUE/FALSE)
# store_id: Store identifier (STR####)
# store_format: Store format (Superstore/Express/Online)
# store_tier: Store performance tier (A/B/C)
# market: Geographic market identifier
# region: Geographic region (Northeast/Southeast/Midwest/Southwest/West)
# population_density: Market population density (Urban/Suburban/Rural)
# median_income: Market median household income ($)
# competitor_density: Number of competitors within 5 miles
# units_sold: Units sold during week
# gross_sales: Gross sales revenue ($)
# net_sales: Net sales after returns and allowances ($)
# avg_selling_price: Average selling price per unit ($)
# regular_price: Regular retail price ($)
# cost_of_goods: Cost of goods sold per unit ($)
# gross_margin: Gross margin per unit ($)
# gross_margin_pct: Gross margin percentage (%)
# price_elasticity: Estimated price elasticity coefficient
# promo_flag: Any promotion active (TRUE/FALSE)
# promo_type: Type of promotion (Discount/BOGO/Display/Feature/TPR)
# discount_depth: Percentage discount from regular price (%)
# promo_price: Promotional price if applicable ($)
# promo_duration: Promotion duration in weeks
# display_type: Display type (Endcap/Shelf/Feature/None)
# feature_ad: Featured in advertising (TRUE/FALSE)
# digital_coupon: Digital coupon available (TRUE/FALSE)
# loyalty_multiplier: Loyalty points multiplier
# cross_merchandised: Cross-merchandised with other products (TRUE/FALSE)
# baseline_demand: Estimated baseline demand without promotions
# incremental_units: Incremental units due to promotion
# promo_lift: Promotional lift percentage (%)
# stockout_flag: Stockout occurred during week (TRUE/FALSE)
# inventory_on_hand: Units in inventory at week start
# days_of_supply: Days of supply based on current demand
# replenishment_flag: Replenishment received during week (TRUE/FALSE)
# seasonal_index: Seasonal demand index (1.0 = average)
# weather_impact: Weather impact score (-1 to 1)
# holiday_week: Holiday week indicator (TRUE/FALSE)
# back_to_school: Back-to-school period (TRUE/FALSE)
# black_friday_cyber_monday: Black Friday/Cyber Monday period (TRUE/FALSE)
# competitor_promo_intensity: Competitor promotional intensity (0-10)
# market_share: Category market share in store (%)
# category_growth: Category growth rate (%)
# new_product_launch: New product launch impact (TRUE/FALSE)
# cannibalization_rate: Cannibalization from other SKUs (%)
# halo_effect: Halo effect from complementary products (%)
# customer_traffic: Store customer traffic index
# basket_penetration: Product basket penetration rate (%)
# repeat_purchase_rate: Customer repeat purchase rate (%)
# price_perception_index: Customer price perception index (1-10)
# brand_loyalty_score: Brand loyalty score (1-10)
# advertisement_spend: Weekly advertising spend allocated to SKU ($)
# digital_engagement: Digital engagement score (clicks, views)
# social_media_mentions: Social media mention volume
# online_reviews_avg: Average online review rating (1-5)
# supply_chain_risk: Supply chain risk score (1-10)
# substitute_availability: Substitute product availability (TRUE/FALSE)
# economic_index: Local economic health index (0-100)

week_id,fiscal_year,fiscal_quarter,fiscal_week,calendar_date,sku_id,product_name,category,sub_category,brand,private_label,store_id,store_format,store_tier,market,region,population_density,median_income,competitor_density,units_sold,gross_sales,net_sales,avg_selling_price,regular_price,cost_of_goods,gross_margin,gross_margin_pct,price_elasticity,promo_flag,promo_type,discount_depth,promo_price,promo_duration,display_type,feature_ad,digital_coupon,loyalty_multiplier,cross_merchandised,baseline_demand,incremental_units,promo_lift,stockout_flag,inventory_on_hand,days_of_supply,replenishment_flag,seasonal_index,weather_impact,holiday_week,back_to_school,black_friday_cyber_monday,competitor_promo_intensity,market_share,category_growth,new_product_launch,cannibalization_rate,halo_effect,customer_traffic,basket_penetration,repeat_purchase_rate,price_perception_index,brand_loyalty_score,advertisement_spend,digital_engagement,social_media_mentions,online_reviews_avg,supply_chain_risk,substitute_availability,economic_index
2024-01,2024,Q1,1,2024-01-07,SKU000001,Ultra HD 65in Smart TV,Electronics,Television,TechVision,FALSE,STR0001,Superstore,A,Metro_NYC,Northeast,Urban,75000,12,42,25199.58,24695.60,599.99,649.99,389.99,210.00,35.0,-1.2,TRUE,Discount,15.0,552.49,2,Endcap,TRUE,TRUE,2.0,FALSE,35,7,20.0,FALSE,156,4.2,TRUE,0.98,0.1,FALSE,FALSE,FALSE,3,18.5,2.3,FALSE,0.0,5.2,1.05,12.8,68.4,7.2,8.4,2500.00,8750,145,4.2,2,TRUE,78
2024-01,2024,Q1,1,2024-01-07,SKU000002,Wireless Bluetooth Headphones,Electronics,Audio,SoundMax,FALSE,STR0001,Superstore,A,Metro_NYC,Northeast,Urban,75000,12,128,12799.36,12543.68,99.99,119.99,45.99,54.00,54.0,-0.8,TRUE,BOGO,50.0,59.99,1,Feature,TRUE,FALSE,1.5,TRUE,95,33,34.7,FALSE,425,3.1,FALSE,1.02,-0.2,FALSE,FALSE,FALSE,4,24.2,1.8,FALSE,2.1,3.8,1.08,22.5,71.2,6.8,7.9,800.00,5420,89,4.1,3,FALSE,78
2024-01,2024,Q1,1,2024-01-07,SKU000003,Organic Cotton Hoodie,Apparel,Casual,ComfortWear,TRUE,STR0001,Superstore,A,Metro_NYC,Northeast,Urban,75000,12,67,2077.33,2035.67,30.99,34.99,18.49,12.50,40.3,-0.6,TRUE,TPR,20.0,27.99,3,Shelf,FALSE,TRUE,1.0,FALSE,52,15,28.8,FALSE,289,5.6,FALSE,1.15,0.3,FALSE,FALSE,FALSE,2,15.8,4.2,FALSE,1.5,2.1,0.95,18.7,62.3,6.5,7.1,450.00,2890,34,3.9,4,TRUE,78
2024-01,2024,Q1,1,2024-01-07,SKU000004,Premium Coffee Beans 12oz,Grocery,Beverages,BrewMaster,FALSE,STR0001,Superstore,A,Metro_NYC,Northeast,Urban,75000,12,89,1246.11,1222.03,13.99,13.99,8.49,5.50,39.3,-0.4,FALSE,,0.0,13.99,0,None,FALSE,FALSE,1.0,FALSE,89,0,0.0,FALSE,245,2.8,TRUE,1.08,-0.1,FALSE,FALSE,FALSE,1,21.3,3.1,FALSE,0.8,1.9,1.02,28.4,75.6,7.8,8.2,200.00,1250,28,4.3,2,FALSE,78
2024-01,2024,Q1,1,2024-01-07,SKU000005,Yoga Mat Premium,Sports,Fitness,FlexFit,FALSE,STR0002,Express,B,Suburban_NJ,Northeast,Suburban,68000,7,23,574.77,563.77,24.99,29.99,14.99,10.00,40.0,-0.7,TRUE,Discount,10.0,26.99,1,Display,TRUE,FALSE,1.0,FALSE,18,5,27.8,FALSE,67,3.7,FALSE,1.25,0.0,FALSE,FALSE,FALSE,2,12.4,5.8,TRUE,0.0,4.2,0.92,16.2,58.9,6.9,7.5,300.00,1890,42,4.0,3,TRUE,75
2024-02,2024,Q1,2,2024-01-14,SKU000001,Ultra HD 65in Smart TV,Electronics,Television,TechVision,FALSE,STR0001,Superstore,A,Metro_NYC,Northeast,Urban,75000,12,38,24699.62,24205.62,649.99,649.99,389.99,260.00,40.0,-1.2,FALSE,,0.0,649.99,0,None,FALSE,FALSE,1.0,FALSE,38,0,0.0,FALSE,148,3.9,FALSE,0.95,-0.1,FALSE,FALSE,FALSE,2,18.5,2.3,FALSE,0.0,0.0,1.03,12.8,68.4,7.2,8.4,1200.00,4250,67,4.2,2,TRUE,78
2024-02,2024,Q1,2,2024-01-14,SKU000002,Wireless Bluetooth Headphones,Electronics,Audio,SoundMax,FALSE,STR0001,Superstore,A,Metro_NYC,Northeast,Urban,75000,12,95,11399.05,11162.05,119.99,119.99,45.99,74.00,61.7,-0.8,FALSE,,0.0,119.99,0,None,FALSE,FALSE,1.0,FALSE,95,0,0.0,FALSE,330,3.5,TRUE,0.98,0.2,FALSE,FALSE,FALSE,3,24.2,1.8,FALSE,0.0,0.0,1.06,22.5,71.2,6.8,7.9,600.00,3180,52,4.1,3,FALSE,78
2024-02,2024,Q1,2,2024-01-14,SKU000003,Organic Cotton Hoodie,Apparel,Casual,ComfortWear,TRUE,STR0001,Superstore,A,Metro_NYC,Northeast,Urban,75000,12,45,1574.55,1541.55,34.99,34.99,18.49,16.50,47.2,-0.6,FALSE,,0.0,34.99,0,None,FALSE,FALSE,1.0,FALSE,45,0,0.0,FALSE,244,5.4,FALSE,1.12,0.1,FALSE,FALSE,FALSE,2,15.8,4.2,FALSE,0.0,0.0,0.93,18.7,62.3,6.5,7.1,300.00,1650,21,3.9,4,TRUE,78
2024-02,2024,Q1,2,2024-01-14,SKU000004,Premium Coffee Beans 12oz,Grocery,Beverages,BrewMaster,FALSE,STR0001,Superstore,A,Metro_NYC,Northeast,Urban,75000,12,94,1314.06,1288.06,13.99,13.99,8.49,5.50,39.3,-0.4,FALSE,,0.0,13.99,0,None,FALSE,FALSE,1.0,FALSE,94,0,0.0,FALSE,151,1.6,TRUE,1.05,0.0,FALSE,FALSE,FALSE,1,21.3,3.1,FALSE,0.0,0.0,1.04,28.4,75.6,7.8,8.2,200.00,980,25,4.3,2,FALSE,78
2024-02,2024,Q1,2,2024-01-14,SKU000005,Yoga Mat Premium,Sports,Fitness,FlexFit,FALSE,STR0002,Express,B,Suburban_NJ,Northeast,Suburban,68000,7,16,399.84,391.84,24.99,29.99,14.99,10.00,40.0,-0.7,TRUE,Feature,15.0,25.49,2,Feature,TRUE,TRUE,1.5,FALSE,12,4,33.3,FALSE,51,3.2,FALSE,1.18,-0.1,FALSE,FALSE,FALSE,3,12.4,5.8,FALSE,1.2,2.8,0.89,16.2,58.9,6.9,7.5,400.00,2100,38,4.0,3,TRUE,75
